-----VERIFICARE----- 5
Ora verificarii: 12/01/2023 12:55:07 am
10:02 am-10:04 am: 1 plannings
10:04 am-10:09 am: 2 plannings
10:09 am-10:32 am: 3 plannings
10:32 am-10:34 am: 2 plannings
10:34 am-10:39 am: 1 plannings
10:39 am-10:43 am: 0 plannings
10:43 am-11:13 am: 1 plannings
11:13 am-11:34 am: 0 plannings
11:34 am-12:04 pm: 1 plannings
12:04 pm-12:49 pm: 0 plannings
12:49 pm-1:19 pm: 1 plannings
1:19 pm-1:57 pm: 0 plannings
1:57 pm-2:18 pm: 1 plannings
2:18 pm-2:27 pm: 2 plannings
2:27 pm-2:48 pm: 1 plannings
2:48 pm-3:10 pm: 0 plannings
3:10 pm-3:40 pm: 1 plannings
3:40 pm-3:45 pm: 0 plannings
3:45 pm-4:15 pm: 1 plannings
4:15 pm-6:00 pm: 0 plannings
Ora verificarii: 12/01/2023 12:55:07 am
Sold locatie 5: 0
---Treatment 1, max plannings: 12
10:00 am-10:52 am: 0 plannings
10:52 am-12:34 pm: 1 plannings
12:34 pm-12:52 pm: 2 plannings
12:52 pm-1:20 pm: 1 plannings
1:20 pm-2:34 pm: 2 plannings
2:34 pm-3:20 pm: 1 plannings
3:20 pm-6:00 pm: 0 plannings
---Treatment 2, max plannings: 4
10:00 am-10:31 am: 0 plannings
10:31 am-10:51 am: 1 plannings
10:51 am-11:13 am: 0 plannings
11:13 am-11:33 am: 1 plannings
11:33 am-11:43 am: 0 plannings
11:43 am-12:03 pm: 1 plannings
12:03 pm-12:53 pm: 0 plannings
12:53 pm-1:13 pm: 1 plannings
1:13 pm-2:20 pm: 0 plannings
2:20 pm-2:29 pm: 1 plannings
2:29 pm-2:40 pm: 2 plannings
2:40 pm-2:47 pm: 1 plannings
2:47 pm-2:49 pm: 2 plannings
2:49 pm-3:07 pm: 1 plannings
3:07 pm-6:00 pm: 0 plannings
---Treatment 3, max plannings: 4
10:00 am-10:51 am: 0 plannings
10:51 am-11:21 am: 1 plannings
11:21 am-11:28 am: 0 plannings
11:28 am-11:48 am: 1 plannings
11:48 am-11:58 am: 2 plannings
11:58 am-12:18 pm: 1 plannings
12:18 pm-12:45 pm: 0 plannings
12:45 pm-1:15 pm: 1 plannings
1:15 pm-2:16 pm: 0 plannings
2:16 pm-2:46 pm: 1 plannings
2:46 pm-3:15 pm: 0 plannings
3:15 pm-3:16 pm: 1 plannings
3:16 pm-3:45 pm: 2 plannings
3:45 pm-3:46 pm: 1 plannings
3:46 pm-6:00 pm: 0 plannings
---Treatment 4, max plannings: 8
10:00 am-10:07 am: 0 plannings
10:07 am-10:09 am: 1 plannings
10:09 am-10:18 am: 3 plannings
10:18 am-11:07 am: 4 plannings
11:07 am-11:09 am: 3 plannings
11:09 am-11:15 am: 1 plannings
11:15 am-11:18 am: 2 plannings
11:18 am-11:31 am: 1 plannings
11:31 am-11:33 am: 2 plannings
11:33 am-12:15 pm: 3 plannings
12:15 pm-12:31 pm: 2 plannings
12:31 pm-12:33 pm: 1 plannings
12:33 pm-12:45 pm: 0 plannings
12:45 pm-1:45 pm: 1 plannings
1:45 pm-2:22 pm: 0 plannings
2:22 pm-2:39 pm: 1 plannings
2:39 pm-3:22 pm: 2 plannings
3:22 pm-3:39 pm: 1 plannings
3:39 pm-3:41 pm: 0 plannings
3:41 pm-3:43 pm: 1 plannings
3:43 pm-3:56 pm: 2 plannings
3:56 pm-4:41 pm: 3 plannings
4:41 pm-4:43 pm: 2 plannings
4:43 pm-4:56 pm: 1 plannings
4:56 pm-6:00 pm: 0 plannings
---Treatment 5, max plannings: 4
10:00 am-10:43 am: 0 plannings
10:43 am-11:10 am: 1 plannings
11:10 am-11:13 am: 2 plannings
11:13 am-11:27 am: 1 plannings
11:27 am-11:40 am: 2 plannings
11:40 am-11:57 am: 1 plannings
11:57 am-12:07 pm: 0 plannings
12:07 pm-12:37 pm: 1 plannings
12:37 pm-2:40 pm: 0 plannings
2:40 pm-3:10 pm: 1 plannings
3:10 pm-6:00 pm: 0 plannings
